path,label
/shared/u/xiangruz/classification/experimental/Qiang/images/membrane/151.png,1
/shared/u/xiangruz/classification/experimental/Qiang/images/membrane/201.png,1
/shared/u/xiangruz/classification/experimental/Qiang/images/membrane/187.png,1
/shared/u/xiangruz/classification/experimental/Qiang/images/ribosome/8.png,5
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_d/706.png,3
/shared/u/xiangruz/classification/experimental/Qiang/images/membrane/18.png,1
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_s/339.png,4
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_d/710.png,3
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_d/899.png,3
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_d/482.png,3
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_s/343.png,4
/shared/u/xiangruz/classification/experimental/Qiang/images/none/183.png,2
/shared/u/xiangruz/classification/experimental/Qiang/images/TRiC/2.png,0
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_d/324.png,3
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_d/842.png,3
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_s/26.png,4
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_d/17.png,3
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_s/289.png,4
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_s/269.png,4
/shared/u/xiangruz/classification/experimental/Qiang/images/membrane/41.png,1
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_d/811.png,3
/shared/u/xiangruz/classification/experimental/Qiang/images/membrane/292.png,1
/shared/u/xiangruz/classification/experimental/Qiang/images/membrane/231.png,1
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_d/1038.png,3
/shared/u/xiangruz/classification/experimental/Qiang/images/membrane/58.png,1
/shared/u/xiangruz/classification/experimental/Qiang/images/TRiC/24.png,0
/shared/u/xiangruz/classification/experimental/Qiang/images/none/102.png,2
/shared/u/xiangruz/classification/experimental/Qiang/images/membrane/184.png,1
/shared/u/xiangruz/classification/experimental/Qiang/images/membrane/50.png,1
/shared/u/xiangruz/classification/experimental/Qiang/images/membrane/173.png,1
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_d/271.png,3
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_d/485.png,3
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_d/665.png,3
/shared/u/xiangruz/classification/experimental/Qiang/images/membrane/402.png,1
/shared/u/xiangruz/classification/experimental/Qiang/images/membrane/398.png,1
/shared/u/xiangruz/classification/experimental/Qiang/images/membrane/146.png,1
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_s/335.png,4
/shared/u/xiangruz/classification/experimental/Qiang/images/membrane/3.png,1
/shared/u/xiangruz/classification/experimental/Qiang/images/membrane/381.png,1
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_d/178.png,3
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_d/144.png,3
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_s/103.png,4
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_d/640.png,3
/shared/u/xiangruz/classification/experimental/Qiang/images/ribosome/19.png,5
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_d/781.png,3
/shared/u/xiangruz/classification/experimental/Qiang/images/proteasome_s/47.png,4
